,datetime,ticker,earliest_vcp_scanned_date,max_consolidations_pct,consolidation_start_date,consolidation_end_date,total_duration,number_of_consolidations,contraction_ratio,first_contraction_pct,first_contraction_duration,first_contraction_price,latest_contraction_pct,latest_contraction_duration,latest_contraction_price,MERGEDCONTRACTION_0_end_dt,MERGEDCONTRACTION_0_support_price,MERGEDCONTRACTION_0_start_dt,MERGEDCONTRACTION_0_resis_price,MERGEDCONTRACTION_0_contraction_pct,MERGEDCONTRACTION_0_delta_t,MERGEDCONTRACTION_1_end_dt,MERGEDCONTRACTION_1_support_price,MERGEDCONTRACTION_1_start_dt,MERGEDCONTRACTION_1_resis_price,MERGEDCONTRACTION_1_contraction_pct,MERGEDCONTRACTION_1_delta_t,MERGEDCONTRACTION_2_end_dt,MERGEDCONTRACTION_2_support_price,MERGEDCONTRACTION_2_start_dt,MERGEDCONTRACTION_2_resis_price,MERGEDCONTRACTION_2_contraction_pct,MERGEDCONTRACTION_2_delta_t,MERGEDCONTRACTION_3_end_dt,MERGEDCONTRACTION_3_support_price,MERGEDCONTRACTION_3_start_dt,MERGEDCONTRACTION_3_resis_price,MERGEDCONTRACTION_3_contraction_pct,MERGEDCONTRACTION_3_delta_t,MERGEDCONTRACTION_4_end_dt,MERGEDCONTRACTION_4_support_price,MERGEDCONTRACTION_4_start_dt,MERGEDCONTRACTION_4_resis_price,MERGEDCONTRACTION_4_contraction_pct,MERGEDCONTRACTION_4_delta_t,MERGEDCONTRACTION_5_end_dt,MERGEDCONTRACTION_5_support_price,MERGEDCONTRACTION_5_start_dt,MERGEDCONTRACTION_5_resis_price,MERGEDCONTRACTION_5_contraction_pct,MERGEDCONTRACTION_5_delta_t,SW_stage2,volume_contraction_condition,support_mrsquare,support_slope,support_rsquare,resis_mrsquare,resis_slope,resis_rsquare,MM_Stage2Filtered,RSSCORE,SCTRSCORE,MRSQUARE,MERGEDCONTRACTION_6_end_dt,MERGEDCONTRACTION_6_support_price,MERGEDCONTRACTION_6_start_dt,MERGEDCONTRACTION_6_resis_price,MERGEDCONTRACTION_6_contraction_pct,MERGEDCONTRACTION_6_delta_t,is_break_out_latest_contraction,is_break_out_first_contraction,adjclose,adjclose_date
158,2022-05-02,AVGO,2022-04-04,0.2426470588235294,2021-12-28,2022-04-29,122,2,1.7036391486675313,0.2426470588235294,27,673.2,0.1424276704219677,31,645.31,2022-01-24,509.85,2021-12-28,673.2,0.2426470588235294,27 days,2022-04-29,553.4,2022-03-29,645.31,0.1424276704219677,31 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0008991292588635,0.0008991292588635,1.0,-0.0004552636905578,-0.0004552636905578,1.0,,,,,,,,,,,False,False,554.39,2022-04-29
162,2022-05-02,AVNW,2022-04-04,0.4333099743050689,2021-06-14,2022-04-06,296,2,3.558090545678004,0.4333099743050689,255,42.81,0.1217806041335453,8,31.45,2022-02-24,24.26,2021-06-14,42.81,0.4333099743050689,255 days,2022-04-06,27.62,2022-03-29,31.45,0.1217806041335453,8 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0033780387268011,0.0033780387268011,1.0,-0.0009213838926522,-0.0009213838926522,1.0,,,,,,,,,,,False,False,29.9,2022-04-29
177,2022-04-11,AZO,2022-04-04,0.1663412322274882,2021-12-29,2022-04-04,96,3,2.7976566111751286,0.1663412322274882,57,2110.0,0.0594563442512725,6,2082.2,2022-02-24,1759.02,2021-12-29,2110.0,0.1663412322274882,57 days,2022-03-08,1836.61,2022-03-01,1953.96,0.0600575242072509,7 days,2022-04-04,1958.4,2022-03-29,2082.2,0.0594563442512725,6 days,,,,,,,,,,,,,,,,,,,True,True,0.0028248498713949,0.0028484831594398,0.9917032024688176,-4.454373727517486e-05,-0.0003196952049591,0.1393318904512908,True,90.57867049258728,89.2,62.9,,,,,,,False,False,1955.47,2022-04-29
178,2022-05-02,AZPN,2022-04-14,0.1993854154355278,2021-10-14,2022-04-27,195,2,1.6870700342509135,0.1993854154355278,152,169.22,0.1181834330037301,22,168.89,2022-03-15,135.48,2021-10-14,169.22,0.1993854154355278,152 days,2022-04-27,148.93,2022-04-05,168.89,0.1181834330037301,22 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0023087592092885,0.0023087592092885,1.0,-1.127239363471878e-05,-1.127239363471878e-05,1.0,,,,,,,,,,,False,False,158.54,2022-04-29
184,2022-04-27,BAH,2022-04-04,0.2298850574712643,2022-01-04,2022-04-19,105,2,5.590025974489496,0.2298850574712643,51,90.48,0.0411231483528631,11,90.46,2022-02-24,69.68,2022-01-04,90.48,0.2298850574712643,51 days,2022-04-19,86.74,2022-04-08,90.46,0.0411231483528631,11 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0045339541608198,0.0045339541608198,1.0,-2.3515247286349738e-06,-2.3515247286349738e-06,1.0,,,,,,,,,,,False,False,81.63,2022-04-29
190,2022-05-02,BBSI,2022-04-04,0.3321337357789644,2021-11-03,2022-04-29,177,2,3.303779849961038,0.3321337357789644,113,86.14,0.1005304369790351,31,79.18,2022-02-24,57.53,2021-11-03,86.14,0.3321337357789644,113 days,2022-04-29,71.22,2022-03-29,79.18,0.1005304369790351,31 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0037181687815053,0.0037181687815053,1.0,-0.0005534157519934,-0.0005534157519934,1.0,,,,,,,,,,,False,False,71.97,2022-04-29
208,2022-04-11,BFS,2022-04-04,0.1895734597156397,2022-01-04,2022-03-23,78,2,3.1804980400295,0.1895734597156397,51,54.86,0.0596039603960395,5,50.5,2022-02-24,44.46,2022-01-04,54.86,0.1895734597156397,51 days,2022-03-23,47.49,2022-03-18,50.5,0.0596039603960395,5 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0025241165592042,0.0025241165592042,1.0,-0.0010886990046893,-0.0010886990046893,1.0,False,83.9789574366332,86.34,61.6,,,,,,,True,False,51.61,2022-04-29
277,2022-05-02,CASY,2022-04-04,0.2506251370914674,2021-05-14,2022-04-13,334,4,8.927195348110152,0.2506251370914674,298,227.95,0.028073342200266,5,210.52,2022-03-08,170.82,2021-05-14,227.95,0.2506251370914674,298 days,2022-03-14,174.05,2022-03-09,187.35,0.0709901254336802,5 days,2022-04-04,196.2,2022-03-30,202.5,0.0311111111111112,5 days,2022-04-13,204.61,2022-04-08,210.52,0.028073342200266,5 days,,,,,,,,,,,,,True,True,0.0056546164044879,0.0056788449411719,0.9957335449488538,-0.0002180815465571,-0.0003628187549969,0.601075725975091,,,,,,,,,,,False,False,201.3,2022-04-29
288,2022-05-02,CC,2022-04-04,0.4055335968379447,2021-06-09,2022-04-25,320,2,2.942511116811925,0.4055335968379447,272,37.95,0.1378178835110746,4,36.57,2022-03-08,22.56,2021-06-09,37.95,0.4055335968379447,272 days,2022-04-25,31.53,2022-04-21,36.57,0.1378178835110746,4 days,,,,,,,,,,,,,,,,,,,,,,,,,True,True,0.0082834663120567,0.0082834663120567,1.0,-0.0001150747986191,-0.0001150747986191,1.0,,,,,,,,,,,False,False,33.07,2022-04-29
302,2022-04-11,CDK,2022-04-04,0.2940635912516082,2021-04-28,2022-03-24,330,3,5.392916392110005,0.2940635912516082,216,54.41,0.0545267489711933,6,48.6,2021-11-30,38.41,2021-04-28,54.41,0.2940635912516082,216 days,2022-02-04,40.38,2022-01-20,43.9,0.0801822323462413,15 days,2022-03-24,45.95,2022-03-18,48.6,0.0545267489711933,6 days,,,,,,,,,,,,,,,,,,,True,True,0.0014583707600571,0.0016648499465474,0.8759772993845666,-0.0002962731285074,-0.0004526004442835,0.6546019391926055,False,88.66571018651362,94.7,89.60000000000001,,,,,,,True,False,54.41,2022-04-29
